item,tier,url,old_price,new_price,status
Merrell Moab 3,value,https://www.rei.com/product/201989/merrell-moab-3-hiking-shoes-mens,100.93,100.93,ok (previously verified)
Cotopaxi Ferrosi Pants,value,,,,ok (previously verified)
Blaze orange vest,value,,13.51,13.51,ok (previously verified)
Coghlan's Camping Clothesline 25ft,shared,https://www.amazon.com/Coghlans-Clothes-Line-25-Feet-16-Inch/dp/B000NDWKMU,8.99,8.99,ok
Coghlan's Snapfold Cutting Board Set,shared,https://www.amazon.com/Coghlans-Snapfold-Cutting-Board-Set/dp/B0FGZXNQKG,13.75,13.75,ok
HERCULES Paracord 100ft,shared,https://www.amazon.com/HERCULES-Paracord-Parachute-White-Survival/dp/B0BD1526GF,8.49,8.49,ok
WeiTus tweezers (panning combo item 1),shared,https://www.amazon.com/WeiTus-Stainless-Precision-Straight-Tweezers/dp/B01MXIVEGD,7.00 (est),20.00,fixed
SE telescoping magnetic pickup tool (panning combo item 2),shared,https://www.amazon.com/SE-8036TM-NEW-Telescoping-Magnetic-Capacity/dp/B000RB3XBA,9.00 (est),8.25,ok
Equate 8oz spray bottle (panning combo item 3),shared,https://www.walmart.com/ip/Equate-8-oz-Plastic-Spraybottle/192243842,3.00 (est),1.00,fixed
Panning combo total (tweezers+magnet+spray),shared,https://www.amazon.com/WeiTus-Stainless-Precision-Straight-Tweezers/dp/B01MXIVEGD,21.97,29.25,fixed
Rainleaf pack towel medium,personal,https://www.amazon.com/Rainleaf-Microfiber-Towel-Perfect-Sports/dp/B01BOKA5UQ,9.99,,unavailable (dead link, replaced)
Rainleaf pack towel 48in (replacement),personal,https://www.amazon.com/Rainleaf-Microfiber-Perfect-Travel-Sports/dp/B07Z1MN695,9.99,12.99,fixed
Energizer Lithium AA/AAA combo,personal,https://www.amazon.com/Energizer-Ultimate-Lithium-Batteries-Combo/dp/B08M4S7PLS,25.23,25.23,ok
Wet Ones travel pack,personal,https://www.amazon.com/Wet-Ones-Antibacterial-Hand-Wipes/dp/B00E0WV49E,3.49,,unavailable (dead link, not yet replaced)
Purell 2oz travel bottle 3-pack,shared,https://www.amazon.com/Purell-Advanced-Sanitizer-Refreshing-Travel/dp/B00KTZDNBW,7.99,,unavailable (dead link, not yet replaced)
Coghlan's Tissue on the Go 2-pack,shared,https://www.amazon.com/Coghlans-Tissue-Go-2-Pack/dp/B000JLFBAO,7.74,7.74,ok
Hefty contractor bags 20ct,shared,https://www.amazon.com/Hefty-Ultra-Strong-Contractor-Trash/dp/B00CEP89QS,13.99,,unavailable (dead link, not yet replaced)
Dr. Fresh travel toothbrush kit,personal,https://www.amazon.com/Dr-Fresh-Travel-Colgate-Toothpaste-Brush-Cover/dp/B001B84W1I,9.95,9.95,ok
Neutrogena sunscreen 3oz,personal,https://www.amazon.com/Neutrogena-Sunscreen-Broad-Spectrum-Oil-Free/dp/B004D2C1PA,9.99,,unavailable (dead link, not yet replaced)
Burt's Bees lip balm 2-pack,personal,https://www.amazon.com/Burts-Bees-Natural-All-Weather-Moisturizing/dp/B07C9KZTXS,12.85,12.85,ok
Mack's foam earplugs 50-pair,shared,https://www.amazon.com/Macks-Ultra-Soft-Foam-Earplugs/dp/B0051U7W32,9.89,9.89,ok
Quaker instant oatmeal variety 52ct,shared,https://www.amazon.com/Quaker-Instant-Oatmeal-Variety-Pack/dp/B001EQ5MMC,12.98,,unavailable (dead link, not yet replaced)
Starbucks VIA Pike Place 12ct,shared,https://www.amazon.com/Starbucks-Ready-Place-Roast-Coffee/dp/B00GGUNOZ6,20.94,20.94,ok
Jack Link's beef jerky 3-pack,shared,https://www.amazon.com/Jack-Links-Beef-Jerky-Original/dp/B0000CFPPP,19.98,,unavailable (dead link, not yet replaced)
Clif Bar variety 12ct,shared,https://www.amazon.com/CLIF-BAR-Variety-Flavors-Organic/dp/B0DWHQ3F39,17.79,17.79,ok
Wet Ones travel pack,personal,https://www.amazon.com/Wet-Ones-Fresh-Antibacterial-Canister/dp/B00005BMI9,3.49,3.28,fixed (dead link replaced)
Purell 2oz travel bottle 3-pack,shared,https://www.amazon.com/Purell-Sanitizer-Unscented-Travel-2023-08-EC/dp/B0HB18M1CZ,7.99,15.99,fixed (dead link replaced)
Hefty contractor bags 20ct,shared,https://www.amazon.com/Hefty-Carry-Contractor-Garbage-Gallon/dp/B07NWC11T6,13.99,20.04,fixed (dead link replaced)
Neutrogena sunscreen 3oz,personal,https://www.amazon.com/Neutrogena-Oil-Free-Sunscreen-Sweatproof-Waterproof/dp/B001P92FMG,9.99,11.88,fixed (dead link replaced)
Quaker instant oatmeal variety 52ct,shared,https://www.amazon.com/Quaker-Instant-Oatmeal-Variety-52/dp/B00SYP1AKW,12.98,21.98,fixed (dead link replaced)
Jack Link's beef jerky 3-pack,shared,https://www.amazon.com/Jack-Links-Beef-Jerky-Original/dp/B07JLT9FK9,19.98,25.28,fixed (dead link replaced)
Adventure Medical Kits Ultralight/Watertight .7,value,https://adventuremedicalkits.com/products/ultralight-watertight-medical-kit-7,44.99,44.99,ok
"ASR Outdoor 1/2"" Mesh Classifier",budget,https://asroutdoor.com/products/half-inch-plastic-sifting-screen-classifier-4-holes-per-square-inch,25,25.00,ok
Black Diamond Spot 400,value,https://blackdiamondequipment.com/products/spot-400-headlamp,59.95,59.95,ok
Garrett + Gold Fever Prospecting Curated kit,premium,https://garrett.com/garrett-14-gold-trap-pan/,95,8.99,wrong_product
GSI Outdoors Cathole Trowel,value,https://gsioutdoors.com/products/cathole-trowel,7.95,7.95,ok
Merino.tech Men's/Women's Long Sleeve Base Layer Set,budget,https://merino.tech/products/men-250-base-layer-set-wool-clothing,100,99.99,ok
Mountain House 2-serving pouches (various),,https://mountainhouse.com/collections/pouches,,,ok
